Series,Driver,Team,Number,Chartered,Car ID,Selection Weight,Weight,Entry Weight,Specialty,Active
O'Reilly,Rajah Caruth,JR Motorsports,8,Yes,8,,0.6,,,Yes
O'Reilly,Chandler Smith,JR Motorsports,9,Yes,9,0.5,0.8,,,Yes
O'Reilly,Grant Enfinger,JR Motorsports,9,Yes,9,1.5,1,,,Yes
O'Reilly,Cleetus McFarland,JR Motorsports,9,Yes,9,4,1.8,,,Yes
O'Reilly,Leland Honeyman,JR Motorsports,88,Yes,88,1,2,,,Yes
O'Reilly,William Byron,JR Motorsports,88,Yes,88,0.5,0.5,,,Yes
O'Reilly,Nathan Byrd,JR Motorsports,88,Yes,88,1.5,1,,,Yes
O'Reilly,Preston Pardus,JR Motorsports,88,Yes,88,3,1.2,,,Yes
O'Reilly,Luke Fenhaus,Kaulig,11,Yes,11,,0.7,,,Yes
O'Reilly,Nick Sanchez,Peterson Racing,87,Yes,87,,0.9,,,Yes
O'Reilly,Kaden Honeycutt,RCR,2,Yes,2,,0.5,,,Yes
O'Reilly,Austin Hill,RCR,21,Yes,21,,0.7,,,Yes
O'Reilly,Kyle Sieg,RSS Racing,28,Yes,28,,3,,,Yes
O'Reilly,Ryan Sieg,RSS Racing,39,Yes,39,,0.7,,,Yes
O'Reilly,Harrison Burton,Sam Hunt,24,Yes,24,,0.9,,,Yes
O'Reilly,Dean Thompson,Sam Hunt,26,Yes,26,,0.6,,,Yes
O'Reilly,Garrett Smithley,SS GreenLight,0,Yes,0,,0.9,,,Yes
O'Reilly,Josh Bilicki,SS GreenLight,07,Yes,07,,1.7,,,Yes
O'Reilly,Anthony Alfredo,Viking,96,Yes,96,,1.1,,,Yes
O'Reilly,Parker Retzlaff,Viking,99,Yes,99,,0.8,,,Yes
O'Reilly,Ryan Ellis,Young's Motorsports,02,Yes,02,,2.3,,,Yes
O'Reilly,Nathan Byrd,Young's Motorsports,42,Yes,42,,2,,,Yes
O'Reilly,Denny Hamlin,Kaulig,10,No,10,,0.5,5,,Yes
O'Reilly,Justin Haley,Kaulig,16,No,16,0.5,1,2.5,,Yes
O'Reilly,Riley Herbst,Kaulig,16,No,16,1,0.9,2.5,,Yes
O'Reilly,Noah Gragson,Kaulig,16,No,16,2,0.9,2.5,,Yes
O'Reilly,Christian Eckes,Kaulig,16,No,16,0.5,0.6,2.5,,Yes
O'Reilly,Layne Riggs,Penske,22,No,22,,0.5,10,,Yes
O'Reilly,Josh Williams,Alpha Prime,4,No,4,,2.5,3,,Yes
O'Reilly,Austin Green,RSS Racing,38,No,38,,1.9,5,,Yes
O'Reilly,Lee Pulliam,Mike Harmon Racing,47,No,47,,3,1,,Yes
Truck,Grant Enfinger,CR7,9,Yes,9,,0.5,,,Yes
Truck,Spencer Boyd,Freedom Racing,76,Yes,76,,2,,,Yes
Truck,Mini Tyrell,Front Row,34,Yes,34,,0.7,,,Yes
Truck,Frankie Muniz,Front Row,36,Yes,36,0.5,1.8,,,Yes
Truck,Ryan Vargas,Front Row,36,Yes,36,2,1.6,,,Yes
Truck,Chandler Smith,Front Row,38,Yes,38,,0.5,,,Yes
Truck,Stewart Friesen,Halmar,52,Yes,52,,0.8,,,Yes
Truck,Michael Christopher,Halmar,62,Yes,62,1,3,,,Yes
Truck,Andy Jankowiak,Halmar,62,Yes,62,1,2,,,Yes
Truck,Timmy Hill,Hill Motorsports,56,Yes,56,,1.5,,,Yes
Truck,Corey LaJoie,Kaulig,10,Yes,10,,1.3,,,Yes
Truck,Brenden Queen,Kaulig,12,Yes,12,,1,,,Yes
Truck,Matt DiBenedetto,Kaulig,14,Yes,14,,1.2,,,Yes
Truck,Kris Wright,Kaulig,16,Yes,16,,3,,,Yes
Truck,Tony Stewart,Kaulig,25,Yes,25,2.5,0.7,,,Yes
Truck,Clint Bowyer,Kaulig,25,Yes,25,0.5,0.8,,,Yes
Truck,Jamie McMurray,Kaulig,25,Yes,25,2,0.5,,,Yes
Truck,Travis Pastrana,Kaulig,25,Yes,25,2.5,1.2,,,Yes
Truck,Ryan Newman,Kaulig,25,Yes,25,1,0.8,,,Yes
Truck,Elliott Sadler,Kaulig,25,Yes,25,1.5,1.1,,,Yes
Truck,Tyler Ankrum,McAnally,18,Yes,18,,0.5,,,Yes
Truck,Daniel Hemric,McAnally,19,Yes,19,,0.7,,,Yes
Truck,Tyler Reif,McAnally,81,Yes,81,,0.9,,,Yes
Truck,Christian Eckes,McAnally,91,Yes,91,,0.5,,,Yes
Truck,Parker Eatmon,Niece,42,Yes,42,1.5,1.1,,,Yes
Truck,Bayley Currey,Niece,42,Yes,42,0.5,1,,,Yes
Truck,Andres Perez,Niece,44,Yes,44,,0.8,,,Yes
Truck,Landen Lewis,Niece,45,Yes,45,,0.7,,,Yes
Truck,Dawson Sutton,Rackley,26,Yes,26,,2,,,Yes
Truck,Toni Breidinger,Rackley,27,Yes,27,,2.5,,,Yes
Truck,Jackson Macenko,Reaume,2,Yes,2,1.5,2,,,Yes
Truck,Jake Bollman,Reaume,2,Yes,2,1,1.7,,,Yes
Truck,Josh Reaume,Reaume,22,Yes,22,,2.3,,,Yes
Truck,Derek Lemke,Reaume,33,Yes,33,,3,,,Yes
Truck,Connor Mosack,Spire,7,Yes,7,,0.6,,,Yes
Truck,Daniel Dye,Spire,77,Yes,77,1,1,,,Yes
Truck,Jeff Maconi,Spire,77,Yes,77,0.5,2,,,Yes
Truck,Isaac Kitzmiller,Spire,77,Yes,77,2,1,,,Yes
Truck,Cole Butcher,ThorSport,13,Yes,13,,1.1,,,Yes
Truck,Ty Majeski,ThorSport,88,Yes,88,,0.8,,,Yes
Truck,Bayley Currey,ThorSport,98,Yes,98,1.5,0.6,,,Yes
Truck,Isaac Kitzmiller,ThorSport,98,Yes,98,0.5,0.8,,,Yes
Truck,Ben Rhodes,ThorSport,99,Yes,99,,0.6,,,Yes
Truck,Thomas Annunziata,TRICON,1,Yes,1,0.5,1.5,,,Yes
Truck,Nick Leitz,TRICON,1,Yes,1,1.5,1.7,,,Yes
Truck,Gavan Boschele,TRICON,1,Yes,1,2,1.1,,,Yes
Truck,Thomas Annunziata,TRICON,5,Yes,5,2,1.5,,,Yes
Truck,Nick Leitz,TRICON,5,Yes,5,0.5,1.7,,,Yes
Truck,Gavan Boschele,TRICON,5,Yes,5,1,1.1,,,Yes
Truck,Leland Honeymand Jr.,TRICON,11,Yes,11,,0.9,,,Yes
Truck,Tanner Gray,TRICON,15,Yes,15,,1.7,,,Yes
Truck,Gio Ruggiero,TRICON,17,Yes,17,,0.6,,,Yes
Truck,Patrick Staropoli,Niece,4,No,4,,2.5,5,,Yes
Truck,Norm Benning,Norm Benning,6,No,6,,3,1,,Yes
Truck,Akinori Ogata,Akinori,63,No,63,1,3,0.5,,Yes
Truck,Kenko Miura,Akinori,63,No,63,1,3,0.5,,Yes
Truck,Tyler Tomassi,MBM,69,No,69,,3,2,,Yes
Truck,Stefan Parson,Spire,71,No,71,1,2.1,5,,Yes
Truck,Lawless Alan,Spire,71,No,71,1,1.5,5,,Yes
Truck,Clay Greenfield,Halmar,72,No,72,,2,0.5,,Yes
Truck,Keith McGee,Mike Harmon,74,No,74,,3,2.5,,Yes
Truck,Parker Kligerman,CR7,97,No,97,,0.8,5,,Yes
